sample.id,parent,block,phenotype,individual,lineage
B3D_CMG0017_S9,M,2,WL,CMG0017_S9,A
B3D_CMG0018_S10,M,2,WL,CMG0018_S10,A
B3D_CMG0019_S11,M,2,QL,CMG0019_S11,A
B3D_CMG0020_S12,M,2,QL,CMG0020_S12,A
B3D_CMG0021_S13,M,2,QL,CMG0021_S13,A
B3D_CMG0022_S14,M,2,WL,CMG0022_S14,A
B3D_CMG0023_S15,M,2,QL,CMG0023_S15,A
B3D_CMG0024_S16,M,2,WL,CMG0024_S16,A
B3D_CMG0025_S17,M,2,QL,CMG0025_S17,A
B3D_CMG0046_S38,M,2,WL,CMG0046_S38,A
B3Q_CMG0017_S9,F,2,WL,CMG0017_S9,A
B3Q_CMG0018_S10,F,2,WL,CMG0018_S10,A
B3Q_CMG0019_S11,F,2,QL,CMG0019_S11,A
B3Q_CMG0020_S12,F,2,QL,CMG0020_S12,A
B3Q_CMG0021_S13,F,2,QL,CMG0021_S13,A
B3Q_CMG0022_S14,F,2,WL,CMG0022_S14,A
B3Q_CMG0023_S15,F,2,QL,CMG0023_S15,A
B3Q_CMG0024_S16,F,2,WL,CMG0024_S16,A
B3Q_CMG0025_S17,F,2,QL,CMG0025_S17,A
B3Q_CMG0046_S38,F,2,WL,CMG0046_S38,A
B95D_CMG0026_S18,M,2,QL,CMG0026_S18,B
B95D_CMG0027_S19,M,2,QL,CMG0027_S19,B
B95D_CMG0028_S20,M,2,WL,CMG0028_S20,B
B95D_CMG0029_S21,M,2,QL,CMG0029_S21,B
B95D_CMG0030_S22,M,2,QL,CMG0030_S22,B
B95D_CMG0031_S23,M,2,WL,CMG0031_S23,B
B95D_CMG0042_S34,M,2,WL,CMG0042_S34,B
B95D_CMG0043_S35,M,2,WL,CMG0043_S35,B
B95D_CMG0047_S39,M,2,WL,CMG0047_S39,B
B95D_CMG0048_S40,M,2,QL,CMG0048_S40,B
B95Q_CMG0026_S18,F,2,QL,CMG0026_S18,B
B95Q_CMG0027_S19,F,2,QL,CMG0027_S19,B
B95Q_CMG0028_S20,F,2,WL,CMG0028_S20,B
B95Q_CMG0029_S21,F,2,QL,CMG0029_S21,B
B95Q_CMG0030_S22,F,2,QL,CMG0030_S22,B
B95Q_CMG0031_S23,F,2,WL,CMG0031_S23,B
B95Q_CMG0042_S34,F,2,WL,CMG0042_S34,B
B95Q_CMG0043_S35,F,2,WL,CMG0043_S35,B
B95Q_CMG0047_S39,F,2,WL,CMG0047_S39,B
B95Q_CMG0048_S40,F,2,QL,CMG0048_S40,B